"name","openinggross","theathers","tconst","titleType","originalTitle","isAdult","startYear","runtimeMinutes","genres","nconst","primaryName","primaryProfession","knownForTitles"
"Avengers: Endgame","$357,115,007",4662,"tt10180694","tvEpisode","Avengers: Endgame",FALSE,2019,NA,"Talk-Show","\N",NA,NA,NA
"Spider-Man: No Way Home","$260,138,569",4336,"tt10872600","movie","Spider-Man: No Way Home",FALSE,2021,148,"Action,Adventure,Fantasy","nm1218281","Jon Watts","director,producer,writer","tt10872600,tt1717499,tt3813310,tt5645432"
"Avengers: Infinity War","$257,698,183",4474,"tt10244308","tvEpisode","Avengers: Infinity War",FALSE,2019,NA,"Animation","\N",NA,NA,NA
"Star Wars: Episode VII - The Force Awakens","$247,966,675",4134,"tt2488496","movie","Star Wars: Episode VII - The Force Awakens",FALSE,2015,138,"Action,Adventure,Sci-Fi","nm0009190","J.J. Abrams","producer,writer,music_department","tt0796366,tt2527338,tt2488496,tt0411008"
"Star Wars: Episode VIII - The Last Jedi","$220,009,584",4232,"tt2527336","movie","Star Wars: Episode VIII - The Last Jedi",FALSE,2017,152,"Action,Adventure,Fantasy","nm0426059","Rian Johnson","producer,writer,director","tt1276104,tt11564570,tt2527336,tt8946378"
"Jurassic World","$208,806,270",4274,"tt0369610","movie","Jurassic World",FALSE,2015,124,"Action,Adventure,Sci-Fi","nm1119880","Colin Trevorrow","producer,writer,director","tt1862079,tt8041270,tt4572792,tt0369610"
"The Avengers","$207,438,708",4349,"tt0034639","movie","The Day Will Dawn",FALSE,1942,98,"Drama,War","nm0294094","Harold French","director,actor,writer","tt0039102,tt0040266,tt0044586,tt0041089"
"Black Panther","$202,003,951",4020,"tt0230045","short","Black Panther",FALSE,1969,14,"Documentary,Short","\N",NA,NA,NA
"The Lion King","$191,770,759",4725,"tt0110357","movie","The Lion King",FALSE,1994,88,"Adventure,Animation,Drama","nm0021249,nm0591450",NA,NA,NA
"Avengers: Age of Ultron","$191,271,109",4276,"tt10967936","tvEpisode","Avengers: Age of Ultron",FALSE,2015,NA,"Comedy,Talk-Show","nm5803889","Jack Vogt","writer,director,producer","tt3038034,tt10950118,tt9407344,tt26912883"
"Doctor Strange in the Multiverse of Madness","$187,420,998",4534,"tt19881206","tvEpisode","Doctor Strange in the Multiverse of Madness",FALSE,2022,18,"Comedy,Talk-Show","\N",NA,NA,NA
"Incredibles 2","$182,687,905",4410,"tt10101440","tvEpisode","Incredibles 2",FALSE,2018,NA,"Documentary,Short","\N",NA,NA,NA
"Black Panther: Wakanda Forever","$181,339,761",4396,"tt23061134","tvEpisode","Black Panther: Wakanda Forever",FALSE,2023,NA,"Comedy","nm2302136","Max Dionne","director,producer,editor","tt1186370,tt2610260,tt0389790,tt5096802"
"Captain America: Civil War","$179,139,142",4226,"tt10070756","tvEpisode","Captain America: Civil War",FALSE,2018,NA,"Documentary,Short","nm3766090","Doug Walker","writer,producer,director","tt2270382,tt1635327,tt1757779,tt1746682"
"Star Wars: Episode IX - The Rise of Skywalker","$177,383,864",4406,"tt2527338","movie","Star Wars: Episode IX - The Rise of Skywalker",FALSE,2019,141,"Action,Adventure,Fantasy","nm0009190","J.J. Abrams","producer,writer,music_department","tt0796366,tt2527338,tt2488496,tt0411008"
"Beauty and the Beast","$174,750,616",4210,"tt0000225","short","La belle et la bête",FALSE,1899,NA,"Family,Fantasy,Romance","\N",NA,NA,NA
"Iron Man 3","$174,144,585",4253,"tt12861906","tvEpisode","Iron Man 3",FALSE,2016,NA,"Talk-Show","nm10209984","Shaurya Chawla","director,writer,editor","tt9168656,tt12851602,tt10901998,tt27687755"
"Harry Potter and the Deathly Hallows: Part 2","$169,189,427",4375,"tt11973238","tvEpisode","Harry Potter and the Deathly Hallows: Part 2",FALSE,2020,131,"Talk-Show","\N",NA,NA,NA
"Batman v Superman: Dawn of Justice","$166,007,347",4242,"tt10968042","tvEpisode","Batman v Superman: Dawn of Justice",FALSE,2016,NA,"Comedy,Talk-Show","nm5803889","Jack Vogt","writer,director,producer","tt3038034,tt10950118,tt9407344,tt26912883"
"Barbie","$162,022,044",4243,"tt0118684","movie","Barbie",FALSE,1997,NA,"\N","nm0037874","Natasha Arthy","writer,director,producer","tt12637892,tt0235596,tt0338418,tt0995029"
"The Dark Knight Rises","$160,887,295",4404,"tt12126330","tvEpisode","The Dark Knight Rises",FALSE,2019,NA,"Talk-Show","nm4539236","Edmund Poliks","writer,director,producer","tt3707388,tt2226650,tt9563388,tt2494128"
"The Dark Knight","$158,411,483",4366,"tt0251504","tvSeries","Dark Knight",FALSE,2000,NA,"Fantasy","nm0486621,nm0264348,nm0574594,nm2011567,nm0809375,nm0545169,nm2409394,nm0899118,nm0717305,nm0581238,nm0247184,nm0170113",NA,NA,NA
"The Hunger Games: Catching Fire","$158,074,286",4163,"tt10650330","tvEpisode","The Hunger Games: Catching Fire",FALSE,2015,NA,"Comedy","nm3766090,nm3597657",NA,NA,NA
"Rogue One: A Star Wars Story","$155,081,681",4157,"tt10968170","tvEpisode","Rogue One: A Star Wars Story",FALSE,2016,NA,"Comedy,Talk-Show","nm5803889","Jack Vogt","writer,director,producer","tt3038034,tt10950118,tt9407344,tt26912883"
"Captain Marvel","$153,433,423",4310,"tt10010670","tvEpisode","Captain Marvel",FALSE,2019,38,"Comedy,Talk-Show","nm1518150","Mike Stoklasa","writer,actor,director","tt3516870,tt2375659,tt3892384,tt2200252"
"The Hunger Games","$152,535,747",4137,"tt10782878","tvEpisode","The Hunger Games",FALSE,2019,NA,"Comedy","\N",NA,NA,NA
"Spider-Man 3","$151,116,516",4252,"tt0413300","movie","Spider-Man 3",FALSE,2007,139,"Action,Adventure,Sci-Fi","nm0000600","Sam Raimi","producer,writer,actor","tt0083907,tt0106308,tt0145487,tt0099365"
"Jurassic World: Fallen Kingdom","$148,024,610",4475,"tt10166866","tvEpisode","Jurassic World: Fallen Kingdom",FALSE,2018,NA,"Comedy","nm3766090,nm3597657",NA,NA,NA
"Furious 7","$147,187,040",4004,"tt14844182","tvEpisode","Furious 7",FALSE,2021,NA,"Comedy","\N",NA,NA,NA
"Guardians of the Galaxy Vol. 2","$146,510,104",4347,"tt10969794","tvEpisode","Guardians of the Galaxy Vol. 2",FALSE,2017,NA,"Comedy,Talk-Show","nm5803889","Jack Vogt","writer,director,producer","tt3038034,tt10950118,tt9407344,tt26912883"
"The Super Mario Bros. Movie","$146,361,865",4343,"tt27455392","tvEpisode","The Super Mario Bros. Movie",FALSE,2023,NA,"Talk-Show","\N",NA,NA,NA
"Jurassic World Dominion","$145,075,625",4676,"tt20234914","tvEpisode","Jurassic World Dominion",FALSE,2022,NA,"Talk-Show","\N",NA,NA,NA
"Thor: Love and Thunder","$144,165,107",4375,"tt10648342","movie","Thor: Love and Thunder",FALSE,2022,118,"Action,Adventure,Comedy","nm0169806","Taika Waititi","producer,writer,actor","tt4698684,tt2584384,tt1560139,tt3416742"
"The Twilight Saga: New Moon","$142,839,137",4024,"tt1259571","movie","The Twilight Saga: New Moon",FALSE,2009,130,"Adventure,Drama,Fantasy","nm0919363","Chris Weitz","producer,writer,director","tt0276751,tt0356910,tt0385752,tt3748528"
