name,openinggross,theathers
Avengers: Endgame,"$357,115,007","4,662"
Spider-Man: No Way Home,"$260,138,569","4,336"
Avengers: Infinity War,"$257,698,183","4,474"
Star Wars: Episode VII - The Force Awakens,"$247,966,675","4,134"
Star Wars: Episode VIII - The Last Jedi,"$220,009,584","4,232"
Jurassic World,"$208,806,270","4,274"
The Avengers,"$207,438,708","4,349"
Black Panther,"$202,003,951","4,020"
The Lion King,"$191,770,759","4,725"
Avengers: Age of Ultron,"$191,271,109","4,276"
Doctor Strange in the Multiverse of Madness,"$187,420,998","4,534"
Incredibles 2,"$182,687,905","4,410"
Black Panther: Wakanda Forever,"$181,339,761","4,396"
Captain America: Civil War,"$179,139,142","4,226"
Star Wars: Episode IX - The Rise of Skywalker,"$177,383,864","4,406"
Beauty and the Beast,"$174,750,616","4,210"
Iron Man 3,"$174,144,585","4,253"
Harry Potter and the Deathly Hallows: Part 2,"$169,189,427","4,375"
Batman v Superman: Dawn of Justice,"$166,007,347","4,242"
Barbie,"$162,022,044","4,243"
The Dark Knight Rises,"$160,887,295","4,404"
The Dark Knight,"$158,411,483","4,366"
The Hunger Games: Catching Fire,"$158,074,286","4,163"
Rogue One: A Star Wars Story,"$155,081,681","4,157"
Captain Marvel,"$153,433,423","4,310"
The Hunger Games,"$152,535,747","4,137"
Spider-Man 3,"$151,116,516","4,252"
Jurassic World: Fallen Kingdom,"$148,024,610","4,475"
Furious 7,"$147,187,040","4,004"
Guardians of the Galaxy Vol. 2,"$146,510,104","4,347"
The Super Mario Bros. Movie,"$146,361,865","4,343"
Jurassic World Dominion,"$145,075,625","4,676"
Thor: Love and Thunder,"$144,165,107","4,375"
The Twilight Saga: New Moon,"$142,839,137","4,024"
The Twilight Saga: Breaking Dawn - Part 2,"$141,067,634","4,070"
The Twilight Saga: Breaking Dawn - Part 1,"$138,122,261","4,061"
Pirates of the Caribbean: Dead Man's Chest,"$135,634,554","4,133"
Finding Dory,"$135,060,273","4,305"
Avatar: The Way of Water,"$134,100,226","4,202"
The Batman,"$134,008,624","4,417"
Suicide Squad,"$133,682,248","4,255"
Deadpool,"$132,434,639","3,558"
Frozen II,"$130,263,358","4,440"
Iron Man 2,"$128,122,480","4,380"
Top Gun: Maverick,"$126,707,459","4,735"
Deadpool 2,"$125,507,153","4,349"
Harry Potter and the Deathly Hallows: Part 1,"$125,017,372","4,125"
It,"$123,403,419","4,103"
Thor: Ragnarok,"$122,744,989","4,080"
The Hunger Games: Mockingjay - Part 1,"$121,897,634","4,151"
Shrek the Third,"$121,629,270","4,122"
Toy Story 4,"$120,908,065","4,575"
Spider-Man: Across the Spider-Verse,"$120,663,589","4,313"
Guardians of the Galaxy Vol. 3,"$118,414,021","4,450"
Spider-Man: Homecoming,"$117,027,503","4,348"
Man of Steel,"$116,619,362","4,207"
Alice in Wonderland,"$116,101,023","3,728"
Minions,"$115,718,405","4,301"
Spider-Man,"$114,844,116","3,615"
Pirates of the Caribbean: At World's End,"$114,732,820","4,362"
Toy Story 3,"$110,307,189","4,028"
Transformers: Revenge of the Fallen,"$108,966,307","4,234"
Star Wars: Episode III - Revenge of the Sith,"$108,435,841","3,661"
Shrek 2,"$108,037,878","4,163"
Minions: The Rise of Gru,"$107,010,140","4,391"
Ant-Man and the Wasp: Quantumania,"$106,109,650","4,345"
The Secret Life of Pets,"$104,352,905","4,370"
The Jungle Book,"$103,261,464","4,028"
Wonder Woman,"$103,251,471","4,165"
X-Men: The Last Stand,"$102,750,665","3,690"
Harry Potter and the Goblet of Fire,"$102,685,961","3,858"
The Hunger Games: Mockingjay - Part 2,"$102,665,981","4,175"
Indiana Jones and the Kingdom of the Crystal Skull,"$100,137,835","4,260"
Transformers: Age of Extinction,"$100,038,390","4,233"
The Fate of the Furious,"$98,786,705","4,310"
Iron Man,"$98,618,668","4,105"
Transformers: Dark of the Moon,"$97,852,865","4,088"
Fast & Furious 6,"$97,375,245","3,658"
Joker,"$96,202,337","4,374"
The Little Mermaid,"$95,578,040","4,320"
