movie;openinggross;theathers;runtimeMinutes;genres;director_identifier;primaryProfession;runtime_dummy;director_count;directed_above_median
Spider-Man: No Way Home;260138569;4,336;148;Action,Adventure,Fantasy;nm1218281;director,producer,writer;1;3;1
Star Wars: Episode VII - The Force Awakens;247966675;4,134;138;Action,Adventure,Sci-Fi;nm0009190;producer,writer,music_department;1;6;1
Star Wars: Episode VIII - The Last Jedi;220009584;4,232;152;Action,Adventure,Fantasy;nm0426059;producer,writer,director;1;1;0
Jurassic World;208806270;4,274;124;Action,Adventure,Sci-Fi;nm1119880;producer,writer,director;1;2;0
The Avengers;207438708;4,349;98;Drama,War;nm0294094;director,actor,writer;0;1;0
Black Panther;202003951;4,020;134;Action,Adventure,Sci-Fi;nm3363032;producer,director,writer;1;2;0
Avengers: Age of Ultron;191271109;4,276;141;Action,Adventure,Sci-Fi;nm0923736;writer,producer,director;1;1;0
Doctor Strange in the Multiverse of Madness;187420998;4,534;126;Action,Adventure,Fantasy;nm0000600;producer,writer,actor;1;5;1
Incredibles 2;182687905;4,410;118;Action,Adventure,Animation;nm0083348;miscellaneous,writer,director;1;3;1
Black Panther: Wakanda Forever;181339761;4,396;161;Action,Adventure,Drama;nm3363032;producer,director,writer;1;2;0
Star Wars: Episode IX - The Rise of Skywalker;177383864;4,406;141;Action,Adventure,Fantasy;nm0009190;producer,writer,music_department;1;6;1
Iron Man 3;174144585;4,253;130;Action,Adventure,Sci-Fi;nm0000948;writer,actor,director;1;2;0
Harry Potter and the Deathly Hallows: Part 2;169189427;4,375;130;Adventure,Family,Fantasy;nm0946734;director,producer,writer;1;8;1
Batman v Superman: Dawn of Justice;166007347;4,242;151;Action,Adventure,Sci-Fi;nm0811583;director,producer,writer;1;4;1
The Dark Knight Rises;160887295;4,404;164;Action,Drama,Thriller;nm0634240;writer,producer,director;1;6;1
The Dark Knight;158411483;4,366;152;Action,Crime,Drama;nm0634240;writer,producer,director;1;6;1
The Hunger Games: Catching Fire;158074286;4,163;146;Action,Adventure,Sci-Fi;nm1349376;director,producer,camera_department;1;5;1
Rogue One: A Star Wars Story;155081681;4,157;133;Action,Adventure,Sci-Fi;nm2284484;visual_effects,director,writer;1;1;0
The Hunger Games;152535747;4,137;142;Action,Adventure,Sci-Fi;nm0002657;writer,producer,director;1;2;0
Spider-Man 3;151116516;4,252;139;Action,Adventure,Sci-Fi;nm0000600;producer,writer,actor;1;5;1
Jurassic World: Fallen Kingdom;148024610;4,475;128;Action,Adventure,Sci-Fi;nm1291105;director,producer,writer;1;1;0
Furious 7;147187040;4,004;137;Action,Crime,Thriller;nm1490123;producer,writer,director;1;5;1
Guardians of the Galaxy Vol. 2;146510104;4,347;136;Action,Adventure,Comedy;nm0348181;writer,producer,director;1;4;1
Jurassic World Dominion;145075625;4,676;147;Action,Adventure,Sci-Fi;nm1119880;producer,writer,director;1;2;0
Thor: Love and Thunder;144165107;4,375;118;Action,Adventure,Comedy;nm0169806;producer,writer,actor;1;2;0
The Twilight Saga: New Moon;142839137;4,024;130;Adventure,Drama,Fantasy;nm0919363;producer,writer,director;1;2;0
The Twilight Saga: Breaking Dawn - Part 2;141067634;4,070;115;Adventure,Drama,Fantasy;nm0174374;director,writer,producer;1;2;0
The Twilight Saga: Breaking Dawn - Part 1;138122261;4,061;117;Adventure,Drama,Fantasy;nm0174374;director,writer,producer;1;2;0
Pirates of the Caribbean: Dead Man's Chest;135634554;4,133;151;Action,Adventure,Fantasy;nm0893659;director,producer,writer;1;3;1
Avatar: The Way of Water;134100226;4,202;192;Action,Adventure,Fantasy;nm0000116;writer,producer,director;1;3;1
The Batman;134008624;4,417;176;Action,Crime,Drama;nm0716257;producer,writer,director;1;4;1
Suicide Squad;133682248;4,255;58;Action,Drama,Romance;nm1262881;director,writer,camera_department;0;1;0
