name;openinggross;theathers;tconst;titleType;originalTitle;isAdult;startYear;runtimeMinutes;genres;director_identifier;primaryName;primaryProfession;knownForTitles
Avengers: Endgame;$357,115,007;4,662;tt4154796;movie;Avengers: Endgame;FALSE;2019;181;Action,Adventure,Drama;nm0751577,nm0751648;NA;NA;NA
Spider-Man: No Way Home;$260,138,569;4,336;tt10872600;movie;Spider-Man: No Way Home;FALSE;2021;148;Action,Adventure,Fantasy;nm1218281;Jon Watts;director,producer,writer;tt10872600,tt1717499,tt5645432,tt3813310
Avengers: Infinity War;$257,698,183;4,474;tt4154756;movie;Avengers: Infinity War;FALSE;2018;149;Action,Adventure,Sci-Fi;nm0751577,nm0751648;NA;NA;NA
Star Wars: Episode VII - The Force Awakens;$247,966,675;4,134;tt2488496;movie;Star Wars: Episode VII - The Force Awakens;FALSE;2015;138;Action,Adventure,Sci-Fi;nm0009190;J.J. Abrams;producer,writer,music_department;tt0796366,tt0411008,tt2488496,tt2527338
Star Wars: Episode VIII - The Last Jedi;$220,009,584;4,232;tt2527336;movie;Star Wars: Episode VIII - The Last Jedi;FALSE;2017;152;Action,Adventure,Fantasy;nm0426059;Rian Johnson;producer,writer,director;tt8946378,tt2527336,tt11564570,tt1276104
Jurassic World;$208,806,270;4,274;tt0369610;movie;Jurassic World;FALSE;2015;124;Action,Adventure,Sci-Fi;nm1119880;Colin Trevorrow;producer,writer,director;tt4572792,tt0369610,tt1862079,tt8041270
The Avengers;$207,438,708;4,349;tt0034639;movie;The Day Will Dawn;FALSE;1942;98;Drama,War;nm0294094;Harold French;director,actor,writer;tt0040266,tt0041089,tt0039102,tt0044586
Black Panther;$202,003,951;4,020;tt1825683;movie;Black Panther;FALSE;2018;134;Action,Adventure,Sci-Fi;nm3363032;Ryan Coogler;producer,director,writer;tt1825683,tt3076658,tt2334649,tt9114286
The Lion King;$191,770,759;4,725;tt0110357;movie;The Lion King;FALSE;1994;88;Adventure,Animation,Drama;nm0021249,nm0591450;NA;NA;NA
Avengers: Age of Ultron;$191,271,109;4,276;tt2395427;movie;Avengers: Age of Ultron;FALSE;2015;141;Action,Adventure,Sci-Fi;nm0923736;Joss Whedon;writer,producer,director;tt0162065,tt0118276,tt0848228,tt1259521
Doctor Strange in the Multiverse of Madness;$187,420,998;4,534;tt9419884;movie;Doctor Strange in the Multiverse of Madness;FALSE;2022;126;Action,Adventure,Fantasy;nm0000600;Sam Raimi;producer,writer,actor;tt0145487,tt0083907,tt0106308,tt0099365
Incredibles 2;$182,687,905;4,410;tt3606756;movie;Incredibles 2;FALSE;2018;118;Action,Adventure,Animation;nm0083348;Brad Bird;miscellaneous,writer,director;tt0317705,tt0129167,tt3606756,tt0382932
Black Panther: Wakanda Forever;$181,339,761;4,396;tt9114286;movie;Black Panther: Wakanda Forever;FALSE;2022;161;Action,Adventure,Drama;nm3363032;Ryan Coogler;producer,director,writer;tt1825683,tt3076658,tt2334649,tt9114286
Captain America: Civil War;$179,139,142;4,226;tt3498820;movie;Captain America: Civil War;FALSE;2016;147;Action,Sci-Fi;nm0751577,nm0751648;NA;NA;NA
Star Wars: Episode IX - The Rise of Skywalker;$177,383,864;4,406;tt2527338;movie;Star Wars: Episode IX - The Rise of Skywalker;FALSE;2019;141;Action,Adventure,Fantasy;nm0009190;J.J. Abrams;producer,writer,music_department;tt0796366,tt0411008,tt2488496,tt2527338
Beauty and the Beast;$174,750,616;4,210;tt0038348;movie;La Belle et la Bête;FALSE;1946;96;Drama,Fantasy,Romance;nm0168413,nm0167496;NA;NA;NA
Iron Man 3;$174,144,585;4,253;tt1300854;movie;Iron Man Three;FALSE;2013;130;Action,Adventure,Sci-Fi;nm0000948;Shane Black;writer,actor,director;tt0093773,tt0373469,tt3799694,tt1300854
Harry Potter and the Deathly Hallows: Part 2;$169,189,427;4,375;tt1201607;movie;Harry Potter and the Deathly Hallows - Part 2;FALSE;2011;130;Adventure,Family,Fantasy;nm0946734;David Yates;director,producer,writer;tt0373889,tt0918940,tt0926084,tt1201607
Batman v Superman: Dawn of Justice;$166,007,347;4,242;tt2975590;movie;Batman v Superman: Dawn of Justice;FALSE;2016;151;Action,Adventure,Sci-Fi;nm0811583;Zack Snyder;director,producer,writer;tt0451279,tt12361974,tt0409459,tt0416449
Barbie;$162,022,044;4,243;tt0118684;movie;Barbie;FALSE;1997;NA;\N;nm0037874;Natasha Arthy;writer,director,producer;tt0338418,tt0235596,tt0995029,tt12637892
The Dark Knight Rises;$160,887,295;4,404;tt1345836;movie;The Dark Knight Rises;FALSE;2012;164;Action,Drama,Thriller;nm0634240;Christopher Nolan;writer,producer,director;tt6723592,tt0816692,tt0482571,tt1375666
The Dark Knight;$158,411,483;4,366;tt0468569;movie;The Dark Knight;FALSE;2008;152;Action,Crime,Drama;nm0634240;Christopher Nolan;writer,producer,director;tt6723592,tt0816692,tt0482571,tt1375666
The Hunger Games: Catching Fire;$158,074,286;4,163;tt1951264;movie;The Hunger Games: Catching Fire;FALSE;2013;146;Action,Adventure,Sci-Fi;nm1349376;Francis Lawrence;director,producer,camera_department;tt0360486,tt1951265,tt0480249,tt1951264
Rogue One: A Star Wars Story;$155,081,681;4,157;tt3748528;movie;Rogue One;FALSE;2016;133;Action,Adventure,Sci-Fi;nm2284484;Gareth Edwards;visual_effects,director,writer;tt0831387,tt1470827,tt3748528,tt11858890
Captain Marvel;$153,433,423;4,310;tt4154664;movie;Captain Marvel;FALSE;2019;123;Action,Adventure,Sci-Fi;nm1349818,nm0281396;NA;NA;NA
The Hunger Games;$152,535,747;4,137;tt1392170;movie;The Hunger Games;FALSE;2012;142;Action,Adventure,Sci-Fi;nm0002657;Gary Ross;writer,producer,director;tt1392170,tt0329575,tt0094737,tt0120789
Spider-Man 3;$151,116,516;4,252;tt0413300;movie;Spider-Man 3;FALSE;2007;139;Action,Adventure,Sci-Fi;nm0000600;Sam Raimi;producer,writer,actor;tt0145487,tt0083907,tt0106308,tt0099365
Jurassic World: Fallen Kingdom;$148,024,610;4,475;tt4881806;movie;Jurassic World: Fallen Kingdom;FALSE;2018;128;Action,Adventure,Sci-Fi;nm1291105;J.A. Bayona;director,producer,writer;tt0464141,tt16277242,tt1649419,tt3416532
Furious 7;$147,187,040;4,004;tt2820852;movie;Fast & Furious 7;FALSE;2015;137;Action,Crime,Thriller;nm1490123;James Wan;producer,writer,director;tt1477834,tt2820852,tt0387564,tt3065204
Guardians of the Galaxy Vol. 2;$146,510,104;4,347;tt3896198;movie;Guardians of the Galaxy Vol. 2;FALSE;2017;136;Action,Adventure,Comedy;nm0348181;James Gunn;writer,producer,director;tt1333125,tt2015381,tt0439815,tt3896198
The Super Mario Bros. Movie;$146,361,865;4,343;tt6718170;movie;The Super Mario Bros. Movie;FALSE;2023;92;Adventure,Animation,Comedy;nm1739338,nm2398585,nm2966857,nm6042133;NA;NA;NA
Jurassic World Dominion;$145,075,625;4,676;tt8041270;movie;Jurassic World Dominion;FALSE;2022;147;Action,Adventure,Sci-Fi;nm1119880;Colin Trevorrow;producer,writer,director;tt4572792,tt0369610,tt1862079,tt8041270
Thor: Love and Thunder;$144,165,107;4,375;tt10648342;movie;Thor: Love and Thunder;FALSE;2022;118;Action,Adventure,Comedy;nm0169806;Taika Waititi;producer,writer,actor;tt2584384,tt4698684,tt1560139,tt3416742
The Twilight Saga: New Moon;$142,839,137;4,024;tt1259571;movie;The Twilight Saga: New Moon;FALSE;2009;130;Adventure,Drama,Fantasy;nm0919363;Chris Weitz;producer,writer,director;tt0385752,tt0356910,tt3748528,tt0276751
The Twilight Saga: Breaking Dawn - Part 2;$141,067,634;4,070;tt1673434;movie;The Twilight Saga: Breaking Dawn - Part 2;FALSE;2012;115;Adventure,Drama,Fantasy;nm0174374;Bill Condon;director,writer,producer;tt0120684,tt0362269,tt0299658,tt0443489
The Twilight Saga: Breaking Dawn - Part 1;$138,122,261;4,061;tt1324999;movie;The Twilight Saga: Breaking Dawn - Part 1;FALSE;2011;117;Adventure,Drama,Fantasy;nm0174374;Bill Condon;director,writer,producer;tt0120684,tt0362269,tt0299658,tt0443489
Pirates of the Caribbean: Dead Man's Chest;$135,634,554;4,133;tt0383574;movie;Pirates of the Caribbean: Dead Man's Chest;FALSE;2006;151;Action,Adventure,Fantasy;nm0893659;Gore Verbinski;director,producer,writer;tt0449088,tt4731136,tt0325980,tt1192628
Finding Dory;$135,060,273;4,305;tt2277860;movie;Finding Dory;FALSE;2016;97;Adventure,Animation,Comedy;nm0004056,nm0533691;NA;NA;NA
Avatar: The Way of Water;$134,100,226;4,202;tt1630029;movie;Avatar: The Way of Water;FALSE;2022;192;Action,Adventure,Fantasy;nm0000116;James Cameron;writer,producer,director;tt0090605,tt0120338,tt1630029,tt0499549
