"name","openinggross","theathers","tconst","titleType","primaryTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"Avengers: Endgame","$357,115,007",4662,"tt10180694","tvEpisode","Avengers: Endgame",FALSE,2019,NA,NA,"Talk-Show"
"Spider-Man: No Way Home","$260,138,569",4336,"tt10872600","movie","Spider-Man: No Way Home",FALSE,2021,NA,148,"Action,Adventure,Fantasy"
"Avengers: Infinity War","$257,698,183",4474,"tt10244308","tvEpisode","Avengers: Infinity War",FALSE,2019,NA,NA,"Animation"
"Star Wars: Episode VII - The Force Awakens","$247,966,675",4134,"tt2488496","movie","Star Wars: Episode VII - The Force Awakens",FALSE,2015,NA,138,"Action,Adventure,Sci-Fi"
"Star Wars: Episode VIII - The Last Jedi","$220,009,584",4232,"tt2527336","movie","Star Wars: Episode VIII - The Last Jedi",FALSE,2017,NA,152,"Action,Adventure,Fantasy"
"Jurassic World","$208,806,270",4274,"tt0369610","movie","Jurassic World",FALSE,2015,NA,124,"Action,Adventure,Sci-Fi"
"The Avengers","$207,438,708",4349,"tt0054518","tvSeries","The Avengers",FALSE,1961,1969,NA,"Action,Comedy,Crime"
"Black Panther","$202,003,951",4020,"tt0230045","short","Black Panther",FALSE,1969,NA,14,"Documentary,Short"
"The Lion King","$191,770,759",4725,"tt0110357","movie","The Lion King",FALSE,1994,NA,88,"Adventure,Animation,Drama"
"Avengers: Age of Ultron","$191,271,109",4276,"tt10967936","tvEpisode","Avengers: Age of Ultron",FALSE,2015,NA,NA,"Comedy,Talk-Show"
"Doctor Strange in the Multiverse of Madness","$187,420,998",4534,"tt19881206","tvEpisode","Doctor Strange in the Multiverse of Madness",FALSE,2022,NA,18,"Comedy,Talk-Show"
"Incredibles 2","$182,687,905",4410,"tt10101440","tvEpisode","Incredibles 2",FALSE,2018,NA,NA,"Documentary,Short"
"Black Panther: Wakanda Forever","$181,339,761",4396,"tt23061134","tvEpisode","Black Panther: Wakanda Forever",FALSE,2023,NA,NA,"Comedy"
"Captain America: Civil War","$179,139,142",4226,"tt10070756","tvEpisode","Captain America: Civil War",FALSE,2018,NA,NA,"Documentary,Short"
"Star Wars: Episode IX - The Rise of Skywalker","$177,383,864",4406,"tt2527338","movie","Star Wars: Episode IX - The Rise of Skywalker",FALSE,2019,NA,141,"Action,Adventure,Fantasy"
"Beauty and the Beast","$174,750,616",4210,"tt0024866","short","Beauty and the Beast",FALSE,1934,NA,8,"Animation,Comedy,Family"
"Iron Man 3","$174,144,585",4253,"tt12861906","tvEpisode","Iron Man 3",FALSE,2016,NA,NA,"Talk-Show"
"Harry Potter and the Deathly Hallows: Part 2","$169,189,427",4375,"tt11973238","tvEpisode","Harry Potter and the Deathly Hallows: Part 2",FALSE,2020,NA,131,"Talk-Show"
"Batman v Superman: Dawn of Justice","$166,007,347",4242,"tt10968042","tvEpisode","Batman v Superman: Dawn of Justice",FALSE,2016,NA,NA,"Comedy,Talk-Show"
"Barbie","$162,022,044",4243,"tt0118684","movie","Barbie",FALSE,1997,NA,NA,"\N"
"The Dark Knight Rises","$160,887,295",4404,"tt12126330","tvEpisode","The Dark Knight Rises",FALSE,2019,NA,NA,"Talk-Show"
"The Dark Knight","$158,411,483",4366,"tt0468569","movie","The Dark Knight",FALSE,2008,NA,152,"Action,Crime,Drama"
"The Hunger Games: Catching Fire","$158,074,286",4163,"tt10650330","tvEpisode","The Hunger Games: Catching Fire",FALSE,2015,NA,NA,"Comedy"
"Rogue One: A Star Wars Story","$155,081,681",4157,"tt10968170","tvEpisode","Rogue One: A Star Wars Story",FALSE,2016,NA,NA,"Comedy,Talk-Show"
"Captain Marvel","$153,433,423",4310,"tt10010670","tvEpisode","Captain Marvel",FALSE,2019,NA,38,"Comedy,Talk-Show"
"The Hunger Games","$152,535,747",4137,"tt10782878","tvEpisode","The Hunger Games",FALSE,2019,NA,NA,"Comedy"
"Spider-Man 3","$151,116,516",4252,"tt0413300","movie","Spider-Man 3",FALSE,2007,NA,139,"Action,Adventure,Sci-Fi"
"Jurassic World: Fallen Kingdom","$148,024,610",4475,"tt10166866","tvEpisode","Jurassic World: Fallen Kingdom",FALSE,2018,NA,NA,"Comedy"
"Furious 7","$147,187,040",4004,"tt14844182","tvEpisode","Furious 7",FALSE,2021,NA,NA,"Comedy"
"Guardians of the Galaxy Vol. 2","$146,510,104",4347,"tt10969794","tvEpisode","Guardians of the Galaxy Vol. 2",FALSE,2017,NA,NA,"Comedy,Talk-Show"
"The Super Mario Bros. Movie","$146,361,865",4343,"tt27455392","tvEpisode","The Super Mario Bros. Movie",FALSE,2023,NA,NA,"Talk-Show"
"Jurassic World Dominion","$145,075,625",4676,"tt20234914","tvEpisode","Jurassic World Dominion",FALSE,2022,NA,NA,"Talk-Show"
"Thor: Love and Thunder","$144,165,107",4375,"tt10648342","movie","Thor: Love and Thunder",FALSE,2022,NA,118,"Action,Adventure,Comedy"
"The Twilight Saga: New Moon","$142,839,137",4024,"tt1259571","movie","The Twilight Saga: New Moon",FALSE,2009,NA,130,"Adventure,Drama,Fantasy"
"The Twilight Saga: Breaking Dawn - Part 2","$141,067,634",4070,"tt1673434","movie","The Twilight Saga: Breaking Dawn - Part 2",FALSE,2012,NA,115,"Adventure,Drama,Fantasy"
"The Twilight Saga: Breaking Dawn - Part 1","$138,122,261",4061,"tt1324999","movie","The Twilight Saga: Breaking Dawn - Part 1",FALSE,2011,NA,117,"Adventure,Drama,Fantasy"
"Pirates of the Caribbean: Dead Man's Chest","$135,634,554",4133,"tt0383574","movie","Pirates of the Caribbean: Dead Man's Chest",FALSE,2006,NA,151,"Action,Adventure,Fantasy"
"Finding Dory","$135,060,273",4305,"tt10065398","tvEpisode","Finding Dory",FALSE,2018,NA,NA,"Documentary,Short"
"Avatar: The Way of Water","$134,100,226",4202,"tt1630029","movie","Avatar: The Way of Water",FALSE,2022,NA,192,"Action,Adventure,Fantasy"
"The Batman","$134,008,624",4417,"tt0398417","tvSeries","The Batman",FALSE,2004,2008,22,"Action,Adventure,Animation"
"Suicide Squad","$133,682,248",4255,"tt0027057","movie","Suicide Squad",FALSE,1935,NA,58,"Action,Drama,Romance"
"Deadpool","$132,434,639",3558,"tt10968038","tvEpisode","Deadpool",FALSE,2016,NA,NA,"Comedy,Talk-Show"
"Frozen II","$130,263,358",4440,"tt11154288","tvEpisode","Frozen II",FALSE,2019,NA,NA,"Talk-Show"
"Iron Man 2","$128,122,480",4380,"tt1228705","movie","Iron Man 2",FALSE,2010,NA,124,"Action,Sci-Fi"
"Top Gun: Maverick","$126,707,459",4735,"tt1745960","movie","Top Gun: Maverick",FALSE,2022,NA,130,"Action,Drama"
"Deadpool 2","$125,507,153",4349,"tt11179310","tvEpisode","Deadpool 2",FALSE,2018,NA,NA,"Documentary"
"Harry Potter and the Deathly Hallows: Part 1","$125,017,372",4125,"tt0926084","movie","Harry Potter and the Deathly Hallows: Part 1",FALSE,2010,NA,146,"Adventure,Family,Fantasy"
"It","$123,403,419",4103,"tt0018033","movie","It",FALSE,1927,NA,72,"Comedy,Romance"
"Thor: Ragnarok","$122,744,989",4080,"tt13624552","tvEpisode","Thor: Ragnarok",FALSE,2017,NA,17,"Comedy,Talk-Show"
"The Hunger Games: Mockingjay - Part 1","$121,897,634",4151,"tt1951265","movie","The Hunger Games: Mockingjay - Part 1",FALSE,2014,NA,123,"Action,Adventure,Sci-Fi"
"Shrek the Third","$121,629,270",4122,"tt0413267","movie","Shrek the Third",FALSE,2007,NA,93,"Adventure,Animation,Comedy"
"Toy Story 4","$120,908,065",4575,"tt10408304","tvEpisode","Toy Story 4",FALSE,2019,NA,NA,"Talk-Show"
"Spider-Man: Across the Spider-Verse","$120,663,589",4313,"tt26745455","tvEpisode","Spider-Man: Across the Spider-Verse",FALSE,2023,NA,NA,"Comedy"
"Guardians of the Galaxy Vol. 3","$118,414,021",4450,"tt26625725","tvEpisode","Guardians of the Galaxy Vol. 3",FALSE,2023,NA,NA,"Comedy"
"Spider-Man: Homecoming","$117,027,503",4348,"tt10128930","tvEpisode","Spider-Man: Homecoming",FALSE,2018,NA,NA,"Documentary,Short"
"Man of Steel","$116,619,362",4207,"tt0263704","movie","Man of Steel",FALSE,1967,NA,81,"Drama"
"Alice in Wonderland","$116,101,023",3728,"tt0000420","short","Alice in Wonderland",FALSE,1903,NA,9,"Family,Fantasy,Short"
"Minions","$115,718,405",4301,"tt11000200","tvEpisode","Minions",FALSE,2019,NA,NA,"Romance"
"Spider-Man","$114,844,116",3615,"tt0061301","tvSeries","Spider-Man",FALSE,1967,1970,25,"Action,Adventure,Animation"
"Pirates of the Caribbean: At World's End","$114,732,820",4362,"tt0449088","movie","Pirates of the Caribbean: At World's End",FALSE,2007,NA,169,"Action,Adventure,Fantasy"
"Toy Story 3","$110,307,189",4028,"tt0435761","movie","Toy Story 3",FALSE,2010,NA,103,"Adventure,Animation,Comedy"
"Transformers: Revenge of the Fallen","$108,966,307",4234,"tt1055369","movie","Transformers: Revenge of the Fallen",FALSE,2009,NA,149,"Action,Adventure,Sci-Fi"
"Star Wars: Episode III - Revenge of the Sith","$108,435,841",3661,"tt0121766","movie","Star Wars: Episode III - Revenge of the Sith",FALSE,2005,NA,140,"Action,Adventure,Fantasy"
"Shrek 2","$108,037,878",4163,"tt0298148","movie","Shrek 2",FALSE,2004,NA,93,"Adventure,Animation,Comedy"
"Minions: The Rise of Gru","$107,010,140",4391,"tt21742438","tvEpisode","Minions: The Rise of Gru",FALSE,2022,NA,NA,"Comedy"
"Ant-Man and the Wasp: Quantumania","$106,109,650",4345,"tt10954600","movie","Ant-Man and the Wasp: Quantumania",FALSE,2023,NA,124,"Action,Adventure,Comedy"
"The Secret Life of Pets","$104,352,905",4370,"tt2709768","movie","The Secret Life of Pets",FALSE,2016,NA,87,"Adventure,Animation,Comedy"
"The Jungle Book","$103,261,464",4028,"tt0061852","movie","The Jungle Book",FALSE,1967,NA,78,"Adventure,Animation,Comedy"
"Wonder Woman","$103,251,471",4165,"tt0072419","tvMovie","Wonder Woman",FALSE,1974,NA,73,"Fantasy"
"X-Men: The Last Stand","$102,750,665",3690,"tt0376994","movie","X-Men: The Last Stand",FALSE,2006,NA,104,"Action,Adventure,Sci-Fi"
"Harry Potter and the Goblet of Fire","$102,685,961",3858,"tt0330373","movie","Harry Potter and the Goblet of Fire",FALSE,2005,NA,157,"Adventure,Family,Fantasy"
"The Hunger Games: Mockingjay - Part 2","$102,665,981",4175,"tt1951266","movie","The Hunger Games: Mockingjay - Part 2",FALSE,2015,NA,137,"Action,Adventure,Sci-Fi"
"Indiana Jones and the Kingdom of the Crystal Skull","$100,137,835",4260,"tt0367882","movie","Indiana Jones and the Kingdom of the Crystal Skull",FALSE,2008,NA,122,"Action,Adventure"
"Transformers: Age of Extinction","$100,038,390",4233,"tt13477168","tvEpisode","Transformers: Age of Extinction",FALSE,2017,NA,NA,"Talk-Show"
"The Fate of the Furious","$98,786,705",4310,"tt4630562","movie","The Fate of the Furious",FALSE,2017,NA,136,"Action,Crime,Thriller"
"Iron Man","$98,618,668",4105,"tt0022002","movie","The Iron Man",FALSE,1931,NA,73,"Drama,Romance"
"Transformers: Dark of the Moon","$97,852,865",4088,"tt1399103","movie","Transformers: Dark of the Moon",FALSE,2011,NA,154,"Action,Adventure,Sci-Fi"
"Fast & Furious 6","$97,375,245",3658,"tt2854726","tvEpisode","Fast & Furious 6",FALSE,2013,NA,NA,"Talk-Show"
"Joker","$96,202,337",4374,"tt0102166","movie","Joker",FALSE,1991,NA,108,"Comedy,Crime"
"The Little Mermaid","$95,578,040",4320,"tt0087632","tvEpisode","The Little Mermaid",FALSE,1987,NA,50,"Adventure,Comedy,Family"
"Captain America: The Winter Soldier","$95,023,721",3938,"tt12735758","tvEpisode","Captain America: The Winter Soldier",FALSE,2015,NA,NA,"Comedy"
"Guardians of the Galaxy","$94,320,883",4080,"tt10622824","tvEpisode","Guardians of the Galaxy",FALSE,2014,NA,NA,"Documentary"
"Justice League","$93,842,239",4051,"tt0275137","tvSeries","Justice League",FALSE,2001,2004,22,"Action,Adventure,Animation"
"Harry Potter and the Prisoner of Azkaban","$93,687,367",3855,"tt0304141","movie","Harry Potter and the Prisoner of Azkaban",FALSE,2004,NA,142,"Adventure,Family,Fantasy"
"Godzilla","$93,188,384",3952,"tt0120685","movie","Godzilla",FALSE,1998,NA,139,"Action,Sci-Fi,Thriller"
"Spider-Man: Far from Home","$92,579,212",4634,"tt10566818","tvEpisode","Spider-Man: Far from Home",FALSE,2019,NA,NA,"Action,Adventure,Comedy"
"The Matrix Reloaded","$91,774,413",3603,"tt0234215","movie","The Matrix Reloaded",FALSE,2003,NA,138,"Action,Sci-Fi"
"The Amazing Spider-Man 2","$91,608,337",4324,"tt11929666","tvEpisode","The Amazing Spider-Man 2",FALSE,2020,NA,34,"Comedy"
"Aladdin","$91,500,929",4476,"tt0103639","movie","Aladdin",FALSE,1992,NA,90,"Adventure,Animation,Comedy"
"It Chapter Two","$91,062,152",4570,"tt10900870","tvEpisode","It Chapter Two",FALSE,2019,NA,NA,"Talk-Show"
"X-Men: Days of Future Past","$90,823,660",3996,"tt10959956","tvEpisode","X-Men: Days of Future Past",FALSE,2014,NA,NA,"Comedy,Talk-Show"
"Inside Out","$90,440,272",3946,"tt0073174","movie","Inside Out",FALSE,1975,NA,97,"Comedy,Crime,Thriller"
"Harry Potter and the Sorcerer's Stone","$90,294,621",3672,"tt0241527","movie","Harry Potter and the Sorcerer's Stone",FALSE,2001,NA,152,"Adventure,Family,Fantasy"
"Pirates of the Caribbean: On Stranger Tides","$90,151,958",4155,"tt1298650","movie","Pirates of the Caribbean: On Stranger Tides",FALSE,2011,NA,137,"Action,Adventure,Fantasy"
